	FeatureName	Transcript	Amplicon	GeneID	GeneSymbol	AmpliconSize	IsGeneCard
IRF9	NM_006084	NM_006084	AMPL28966329	10379	IRF9	103	FALSE
ABCG2	NM_004827	NM_004827	AMPL28348511	9429	ABCG2	107	FALSE
PGK1	NM_000291	NM_000291	AMPL5718916	5230	PGK1	105	FALSE
KLF16	NM_031918	NM_031918	AMPL14270604	83855	KLF16	92	FALSE
IRF3	NM_001571	NM_001571	AMPL11235210	3661	IRF3	99	FALSE
NODAL	NM_018055	NM_018055	AMPL33512511	4838	NODAL	110	TRUE
DNMT3B	NM_006892	NM_006892	AMPL12137828	1789	DNMT3B	107	TRUE
PYCARD	NM_013258	NM_013258	AMPL12613546	29108	PYCARD	100	FALSE
HSD17B10	NM_004493	NM_004493	AMPL27578526	3028	HSD17B10	110	FALSE
OAS3	NM_006187	NM_006187	AMPL28329535	4940	OAS3	109	FALSE
CES3	NM_024922	NM_024922	AMPL14627537	23491	CES3	105	FALSE
NAMPT	NM_005746	NM_005746	AMPL28995710	10135	NAMPT	106	FALSE
CUL3	NM_003590	NM_003590	AMPL7545436	8452	CUL3	105	FALSE
NR3C1	NM_001018076	NM_001018076	AMPL204456	2908	NR3C1	105	FALSE
KLF4	NM_004235	NM_004235	AMPL28668599	9314	KLF4	105	FALSE
NFKB1	NM_003998	NM_003998	AMPL27136949	4790	NFKB1	107	FALSE
UGT2B7	NM_001074	NM_001074	AMPL2443325	7364	UGT2B7	104	FALSE
KCNH2	NM_000238	NM_000238	AMPL4021889	3757	KCNH2	108	FALSE
RAC1	NM_018890	NM_018890	AMPL32957099	5879	RAC1	101	FALSE
IL17RB	NM_018725	NM_018725	AMPL31195424	55540	IL17RB	109	FALSE
GSR	NM_000637	NM_000637	AMPL6143434	2936	GSR	102	FALSE
EIF4E	NM_001130678	NM_001130678	AMPL4132220	1977	EIF4E	106	FALSE
PDGFA	NM_002607	NM_002607	AMPL9054458	5154	PDGFA	106	FALSE
CD38	NM_001775	NM_001775	AMPL10753783	952	CD38	109	FALSE
EGFR	NM_005228	NM_005228	AMPL28541017	1956	EGFR	105	FALSE
NRCAM	NM_001037132	NM_001037132	AMPL4619123	4897	NRCAM	109	FALSE
MAP2	NM_002374	NM_002374	AMPL10103073	4133	MAP2	108	TRUE
JAK2	NM_004972	NM_004972	AMPL29237409	3717	JAK2	99	FALSE
BGLAP	NM_199173	NM_199173	AMPL21969314	632	BGLAP	109	FALSE
TUBB3	NM_006086	NM_006086	AMPL28965736	10381	TUBB3	107	FALSE
CX3CL1	NM_002996	NM_002996	AMPL11539440	6376	CX3CL1	108	FALSE
CCND1	NM_053056	NM_053056	AMPL16186640	595	CCND1	107	FALSE
CDH11	NM_001797	NM_001797	AMPL11351872	1009	CDH11	104	FALSE
GABBR2	NM_005458	NM_005458	AMPL26838607	9568	GABBR2	105	FALSE
ALOX5	NM_000698	NM_000698	AMPL5297331	240	ALOX5	105	FALSE
FMO4	NM_002022	NM_002022	AMPL11691775	2329	FMO4	104	FALSE
CCN2	NM_001901	NM_001901	AMPL11335505	1490	CCN2	110	FALSE
BDKRB1	NM_000710	NM_000710	AMPL3198562	623	BDKRB1	106	FALSE
PCSK6	NM_002570	NM_002570	AMPL9704731	5046	PCSK6	108	FALSE
BCL6	NM_001706	NM_001706	AMPL8265813	604	BCL6	107	FALSE
MLH1	NM_001167617	NM_001167617	AMPL6964984	4292	MLH1	101	FALSE
PDGFB	NM_002608	NM_002608	AMPL10511493	5155	PDGFB	106	FALSE
CSF1	NM_000757	NM_000757	AMPL4769976	1435	CSF1	96	FALSE
ADAMTS1	NM_006988	NM_006988	AMPL12518454	9510	ADAMTS1	107	FALSE
POMGNT1	NM_017739	NM_017739	AMPL31983170	55624	POMGNT1	106	FALSE
HGF	NM_000601	NM_000601	AMPL4807256	3082	HGF	101	FALSE
TP53I3	NM_004881	NM_004881	AMPL29104681	9540	TP53I3	107	FALSE
HIF1A	NM_001530	NM_001530	AMPL8472036	3091	HIF1A	102	FALSE
LMO2	NM_005574	NM_005574	AMPL27139158	4005	LMO2	111	FALSE
HNF4A	NM_000457	NM_000457	AMPL3077230	3172	HNF4A	109	TRUE
PRPF3	NM_004698	NM_004698	AMPL30452841	9129	PRPF3	111	FALSE
ALDH5A1	NM_170740	NM_170740	AMPL18127695	7915	ALDH5A1	104	FALSE
HTRA1	NM_002775	NM_002775	AMPL10193022	5654	HTRA1	111	FALSE
EPCAM	NM_002354	NM_002354	AMPL11286081	4072	EPCAM	100	FALSE
GSTM2	NM_001142368	NM_001142368	AMPL6184676	2946	GSTM2	100	FALSE
SERP2	NM_001010897	NM_001010897	AMPL621336	387923	SERP2	102	FALSE
CLDN1	NM_021101	NM_021101	AMPL36117040	9076	CLDN1	107	TRUE
BRCA1	NM_007300	NM_007300	AMPL13649775	672	BRCA1	105	FALSE
TAP2	NM_000544	NM_000544	AMPL1903956	6891	TAP2	110	FALSE
ABCC10	NM_001198934	NM_001198934	AMPL7136100	89845	ABCC10	104	FALSE
NR2F2	NM_021005	NM_021005	AMPL35556246	7026	NR2F2	104	TRUE
CALM1	NM_006888	NM_006888	AMPL13719474	801	CALM1	97	FALSE
LGR5	NM_003667	NM_003667	AMPL8562644	8549	LGR5	101	FALSE
HES1	NM_005524	NM_005524	AMPL27714869	3280	HES1	109	FALSE
TIMP1	NM_003254	NM_003254	AMPL8422310	7076	TIMP1	104	FALSE
CBL	NM_005188	NM_005188	AMPL28648877	867	CBL	101	FALSE
CYP21A2	NM_000500	NM_000500	AMPL2620377	1589	CYP21A2	101	FALSE
PTGES	NM_004878	NM_004878	AMPL28136630	9536	PTGES	111	FALSE
NANOG	NM_024865	NM_024865	AMPL14426231	79923	NANOG	102	TRUE
ABCA1	NM_005502	NM_005502	AMPL28385508	19	ABCA1	101	FALSE
XRCC5	NM_021141	NM_021141	AMPL37189013	7520	XRCC5	103	FALSE
SERPINB1	NM_030666	NM_030666	AMPL14565945	1992	SERPINB1	102	FALSE
KLF5	NM_001730	NM_001730	AMPL7382329	688	KLF5	99	TRUE
PTPRF	NM_002840	NM_002840	AMPL9020739	5792	PTPRF	111	FALSE
EGR2	NM_000399	NM_000399	AMPL3648658	1959	EGR2	105	FALSE
PDHA1	NM_001173454	NM_001173454	AMPL6653684	5160	PDHA1	107	FALSE
VEGFA	NM_001171623	NM_001171623	AMPL8112284	7422	VEGFA	109	FALSE
PML	NM_033238	NM_033238	AMPL17463472	5371	PML	110	FALSE
CDK2	NM_001798	NM_001798	AMPL11968322	1017	CDK2	108	FALSE
GPX4	NM_001039847	NM_001039847	AMPL1878496	2879	GPX4	109	FALSE
MEF2C	NM_001193347	NM_001193347	AMPL6802322	4208	MEF2C	107	FALSE
DPYD	NM_000110	NM_000110	AMPL2093445	1806	DPYD	100	FALSE
CYP3A5	NM_000777	NM_000777	AMPL3569906	1577	CYP3A5	91	FALSE
HLA-DPB1	NM_002121	NM_002121	AMPL8574636	3115	HLA-DPB1	105	FALSE
MSX2	NM_002449	NM_002449	AMPL11010680	4488	MSX2	107	FALSE
BECN1	NM_003766	NM_003766	AMPL7879720	8678	BECN1	107	FALSE
CDC6	NM_001254	NM_001254	AMPL9005706	990	CDC6	109	FALSE
IFNA1	NM_024013	NM_024013	AMPL36886309	3439	IFNA1	101	FALSE
ATF3	NM_001206484	NM_001206484	AMPL8833416	467	ATF3	107	FALSE
CDH13	NM_001220488	NM_001220488	AMPL7856848	1012	CDH13	103	FALSE
ASMT	NM_001171038	NM_001171038	AMPL8771915	438	ASMT	110	FALSE
EGR1	NM_001964	NM_001964	AMPL10908633	1958	EGR1	88	FALSE
ALDOC	NM_005165	NM_005165	AMPL27745921	230	ALDOC	108	FALSE
LEPR	NM_002303	NM_002303	AMPL11766873	3953	LEPR	102	FALSE
UMPS	NM_000373	NM_000373	AMPL5997182	7372	UMPS	104	FALSE
LIFR	NM_002310	NM_002310	AMPL11538225	3977	LIFR	106	FALSE
LEF1	NM_016269	NM_016269	AMPL31020759	51176	LEF1	105	FALSE
TYMP	NM_001113756	NM_001113756	AMPL6121937	1890	TYMP	104	FALSE
IRF8	NM_002163	NM_002163	AMPL10480592	3394	IRF8	106	FALSE
AQP3	NM_004925	NM_004925	AMPL30500813	360	AQP3	107	FALSE
CCL2	NM_002982	NM_002982	AMPL7440424	6347	CCL2	104	FALSE
PRDX6	NM_004905	NM_004905	AMPL29831430	9588	PRDX6	105	FALSE
FARSA	NM_004461	NM_004461	AMPL30093800	2193	FARSA	108	FALSE
PGF	NM_002632	NM_002632	AMPL7650673	5228	PGF	100	FALSE
CYP2C9	NM_000771	NM_000771	AMPL6400832	1559	CYP2C9	101	FALSE
PCK1	NM_002591	NM_002591	AMPL10042520	5105	PCK1	101	FALSE
RXRB	NM_021976	NM_021976	AMPL34775966	6257	RXRB	106	FALSE
NPPB	NM_002521	NM_002521	AMPL8348027	4879	NPPB	110	TRUE
TP53	NM_000546	NM_000546	AMPL3223250	7157	TP53	107	FALSE
BCL2	NM_000633	NM_000633	AMPL2837802	596	BCL2	97	FALSE
SLC15A1	NM_005073	NM_005073	AMPL30247794	6564	SLC15A1	106	FALSE
WNT7B	NM_058238	NM_058238	AMPL17539730	7477	WNT7B	109	FALSE
TP63	NM_003722	NM_003722	AMPL8551205	8626	TP63	106	FALSE
BID	NM_001196	NM_001196	AMPL9953107	637	BID	108	FALSE
MCM3	NM_002388	NM_002388	AMPL11280700	4172	MCM3	107	FALSE
MYBL2	NM_002466	NM_002466	AMPL10261366	4605	MYBL2	108	FALSE
RUNX1	NM_001754	NM_001754	AMPL10934354	861	RUNX1	106	FALSE
KYAT1	NM_004059	NM_004059	AMPL27489488	883	KYAT1	111	FALSE
TPH1	NM_004179	NM_004179	AMPL29775866	7166	TPH1	108	FALSE
CDK6	NM_001145306	NM_001145306	AMPL5549170	1021	CDK6	104	FALSE
ROBO1	NM_002941	NM_002941	AMPL8294357	6091	ROBO1	106	FALSE
CD36	NM_001127443	NM_001127443	AMPL3795622	948	CD36	102	FALSE
UBE2N	NM_003348	NM_003348	AMPL7558733	7334	UBE2N	103	FALSE
EGF	NM_001963	NM_001963	AMPL7880775	1950	EGF	109	FALSE
PLAGL1	NM_001080954	NM_001080954	AMPL1084498	5325	PLAGL1	103	FALSE
LAMP2	NM_001122606	NM_001122606	AMPL2004940	3920	LAMP2	101	FALSE
RPTOR	NM_020761	NM_020761	AMPL35157367	57521	RPTOR	104	FALSE
DIABLO	NM_019887	NM_019887	AMPL33692186	56616	DIABLO	101	FALSE
FMO5	NM_001461	NM_001461	AMPL8303889	2330	FMO5	102	FALSE
PTK2B	NM_173176	NM_173176	AMPL17297527	2185	PTK2B	108	FALSE
PIK3R3	NM_003629	NM_003629	AMPL6971173	8503	PIK3R3	106	FALSE
TLR4	NM_138554	NM_138554	AMPL34426554	7099	TLR4	106	FALSE
BCAR1	NM_001170714	NM_001170714	AMPL8772174	9564	BCAR1	109	FALSE
SLC7A6	NM_003983	NM_003983	AMPL29431836	9057	SLC7A6	106	FALSE
MMP14	NM_004995	NM_004995	AMPL28126753	4323	MMP14	101	FALSE
TIMP3	NM_000362	NM_000362	AMPL2912361	7078	TIMP3	109	FALSE
PINK1	NM_032409	NM_032409	AMPL14331715	65018	PINK1	107	FALSE
CAPRIN1	NM_005898	NM_005898	AMPL28981553	4076	CAPRIN1	108	FALSE
ISG15	NM_005101	NM_005101	AMPL29682613	9636	ISG15	107	FALSE
SULT1C4	NM_006588	NM_006588	AMPL12762165	27233	SULT1C4	105	FALSE
CREM	NM_181571	NM_181571	AMPL17828655	1390	CREM	111	FALSE
RET	NM_020975	NM_020975	AMPL35555716	5979	RET	106	FALSE
CACNA1H	NM_021098	NM_021098	AMPL35326025	8912	CACNA1H	107	FALSE
BMF	NM_001003940	NM_001003940	AMPL4862149	90427	BMF	106	FALSE
ABCC2	NM_000392	NM_000392	AMPL3093849	1244	ABCC2	107	FALSE
MME	NM_007288	NM_007288	AMPL12179698	4311	MME	107	FALSE
TSC1	NM_000368	NM_000368	AMPL2671559	7248	TSC1	103	FALSE
CNTFR	NM_001842	NM_001842	AMPL11348691	1271	CNTFR	104	FALSE
CCNB1	NM_031966	NM_031966	AMPL14157888	891	CCNB1	106	FALSE
SCG2	NM_003469	NM_003469	AMPL8767823	7857	SCG2	103	FALSE
FKBP5	NM_004117	NM_004117	AMPL29901418	2289	FKBP5	109	FALSE
CDK4	NM_000075	NM_000075	AMPL4090056	1019	CDK4	110	FALSE
CALB2	NM_001740	NM_001740	AMPL10762882	794	CALB2	110	FALSE
CCNG2	NM_004354	NM_004354	AMPL28411258	901	CCNG2	99	FALSE
HSF1	NM_005526	NM_005526	AMPL27265698	3297	HSF1	107	FALSE
CYCS	NM_018947	NM_018947	AMPL33088098	54205	CYCS	109	FALSE
BAD	NM_032989	NM_032989	AMPL15908493	572	BAD	104	FALSE
CLEC7A	NM_197947	NM_197947	AMPL21250872	64581	CLEC7A	100	FALSE
BCL11B	NM_138576	NM_138576	AMPL35299819	64919	BCL11B	106	FALSE
ADAMTS5	NM_007038	NM_007038	AMPL13016703	11096	ADAMTS5	104	FALSE
NCAM1	NM_181351	NM_181351	AMPL15803418	4684	NCAM1	108	FALSE
CLDN4	NM_001305	NM_001305	AMPL10421942	1364	CLDN4	110	FALSE
KLF15	NM_014079	NM_014079	AMPL24925880	28999	KLF15	89	FALSE
NFKBIA	NM_020529	NM_020529	AMPL31900930	4792	NFKBIA	106	FALSE
NR2F1	NM_005654	NM_005654	AMPL27006151	7025	NR2F1	106	TRUE
SLC7A5	NM_003486	NM_003486	AMPL10091426	8140	SLC7A5	108	FALSE
RND2	NM_005440	NM_005440	AMPL29690486	8153	RND2	106	FALSE
FST	NM_013409	NM_013409	AMPL25686021	10468	FST	108	FALSE
CYP27A1	NM_000784	NM_000784	AMPL1360836	1593	CYP27A1	106	FALSE
ESRRG	NM_001438	NM_001438	AMPL9536574	2104	ESRRG	108	FALSE
ADSS1	NM_199165	NM_199165	AMPL21468375	122622	ADSS1	106	FALSE
ASCL1	NM_004316	NM_004316	AMPL29761144	429	ASCL1	102	FALSE
MGMT	NM_002412	NM_002412	AMPL8704903	4255	MGMT	105	FALSE
ABCC4	NM_005845	NM_005845	AMPL26942142	10257	ABCC4	103	FALSE
IL11	NM_000641	NM_000641	AMPL6410035	3589	IL11	98	FALSE
SFRP1	NM_003012	NM_003012	AMPL7150939	6422	SFRP1	104	FALSE
DHFR	NM_000791	NM_000791	AMPL4762611	1719	DHFR	96	FALSE
XDH	NM_000379	NM_000379	AMPL1701534	7498	XDH	103	FALSE
PRKCG	NM_002739	NM_002739	AMPL7990740	5582	PRKCG	112	FALSE
FER	NM_005246	NM_005246	AMPL28643403	2241	FER	104	FALSE
UTRN	NM_007124	NM_007124	AMPL12182952	7402	UTRN	109	FALSE
FSCN1	NM_003088	NM_003088	AMPL7285885	6624	FSCN1	111	FALSE
CD82	NM_002231	NM_002231	AMPL7648302	3732	CD82	106	FALSE
ADAR	NM_001111	NM_001111	AMPL2034972	103	ADAR	109	FALSE
PTGS2	NM_000963	NM_000963	AMPL4233520	5743	PTGS2	107	FALSE
ADA	NM_000022	NM_000022	AMPL14907	100	ADA	108	FALSE
HESX1	NM_003865	NM_003865	AMPL27630808	8820	HESX1	104	TRUE
PAX6	NM_001127612	NM_001127612	AMPL5322742	5080	PAX6	103	TRUE
ERBB4	NM_005235	NM_005235	AMPL27284273	2066	ERBB4	107	FALSE
SLC19A1	NM_194255	NM_194255	AMPL21930828	6573	SLC19A1	108	FALSE
FGFR1	NM_001174067	NM_001174067	AMPL8453388	2260	FGFR1	108	FALSE
AKT2	NM_001626	NM_001626	AMPL11229610	208	AKT2	108	FALSE
PMP22	NM_153322	NM_153322	AMPL17724027	5376	PMP22	108	FALSE
TRAF6	NM_004620	NM_004620	AMPL30459263	7189	TRAF6	103	FALSE
SEL1L	NM_005065	NM_005065	AMPL28594869	6400	SEL1L	107	FALSE
CD83	NM_004233	NM_004233	AMPL27816171	9308	CD83	100	FALSE
CCND2	NM_001759	NM_001759	AMPL11854004	894	CCND2	109	FALSE
HYOU1	NM_001130991	NM_001130991	AMPL1120105	10525	HYOU1	106	FALSE
TRPM8	NM_024080	NM_024080	AMPL35373412	79054	TRPM8	103	TRUE
SCN4A	NM_000334	NM_000334	AMPL1730502	6329	SCN4A	107	FALSE
CYP7B1	NM_004820	NM_004820	AMPL29595948	9420	CYP7B1	102	FALSE
GSTP1	NM_000852	NM_000852	AMPL4426508	2950	GSTP1	107	FALSE
ACACA	NM_198834	NM_198834	AMPL22279197	31	ACACA	107	FALSE
